,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient
456,1,0.9463240620949358,0.28,0.0,2.1,7.883183794322528,4.659106022553696,8.982255901840102,5819.093030534626,4.3168221220541705,1.118287723278607,0.8944620033084305,111.87980760709681,2337.3190355859783,0.000232949110400842,0.0023990706649739124
457,2,1.0963029195578284,0.28,0.0,2.1,6.726535397989102,9.668882932637883,4.999313594720704,5159.861501773389,3.7339512802585135,2.3512868601776007,0.9871816510042128,39.44868075091279,648.5683958975175,0.0013786414271288344,0.0007406836411767426
458,2,1.1660237393358672,0.28,0.0,2.1,5.085863766153111,8.666846494685512,4.136310520223437,5816.712520601684,3.8620872001801487,2.0934324346333444,0.9498873462012679,49.16993242686797,820.4874154487628,0.00135324386163573,0.0013617414731029731
459,2,0.9082243376830028,0.28,0.0,2.1,13.320562823841753,9.405130978301976,10.653165281869686,5199.941477143066,3.9063258822376166,1.7549001675516784,0.9670075282634776,56.075706510676326,960.8380175269307,0.0012322332465029757,0.0005066125967273516
460,2,1.154613340360251,0.28,0.0,2.1,5.537414472175298,9.650281860253148,4.265167654282149,5190.985198098536,3.7220902235420734,2.4467428576906385,0.9879229207087981,38.15089891002181,629.2002006999412,0.0016192243747407218,0.0008966499998145361
461,2,1.0439008806001355,0.28,0.0,2.1,8.026607563702223,9.476804078245449,5.862122164455223,5248.53196934137,3.8156146439104717,2.0881870465410817,0.9823520421010019,46.19835018973343,776.1027899741339,0.001531044147879543,0.0006973624956654323
462,1,1.0424168898828303,0.28,0.0,2.1,4.329838210678473,3.3424358276682997,5.892127134793746,6042.051207913097,4.313514092706308,1.1781710582305216,0.8898065991875194,108.35592243919837,2276.383431911935,0.00015384150747616595,0.002057588559485679
463,2,1.0243626298745556,0.28,0.0,2.1,8.311530000588627,8.765088499712173,6.362779967545737,5653.552317185828,3.953963737171097,1.7644451792408529,0.9564701068080472,59.408926499881574,1028.3159062915392,0.0013779145490821255,0.001516121443903451
464,2,0.9587073431510392,0.28,0.0,2.1,10.925801981540943,9.359273424721854,8.510111025240688,5276.569490846107,3.8926632232303953,1.831551888607892,0.971101287128134,54.07278484511637,924.2956654810773,0.0011950328226577776,0.0005158427717184555
465,1,0.8696867123182173,0.28,0.0,2.1,5.399517730525641,2.1773450453152607,12.678265711502357,5534.586828058086,4.517115605911194,0.8512718868092606,0.9456988110391122,160.87458453965397,3800.988253955838,0.0002066387039481452,0.002679571678961906
466,1,0.874433195789317,0.28,0.0,2.1,7.504407061347133,3.0119559507662617,12.417809313499735,5602.215068947072,4.4647831299381435,0.9066014928391488,0.9241813303173794,146.98451075062349,3349.089591034053,0.00025123583550190414,0.0030176998212897987
467,2,1.060422667166995,0.28,0.0,2.1,7.173228983760548,8.42171671197332,5.439559289473802,5785.639274001123,3.9648673461540014,1.772940755902779,0.9496333860329228,60.041427921179455,1042.3538961849758,0.001527235735558649,0.002597673991436733
468,2,0.934012845601648,0.28,0.0,2.1,11.666751788622296,8.77536413015155,9.470664906493164,5545.9254075450035,4.0211908937953345,1.559535918079786,0.9459319950286853,68.1778315890965,1212.0691734684733,0.0014677160320609541,0.0016235790521149651
469,2,0.9733723793947712,0.28,0.0,2.1,8.058193188995132,5.716548091255594,7.972049300410562,5863.840617972746,4.236277165835022,1.243935313770676,0.8955214875186138,96.9242615580328,1934.236664408111,0.0004258854717600616,0.0031300880943381237
470,2,1.1686926491354517,0.28,0.0,2.1,5.243658840808985,9.452383103498585,4.10641879197193,5319.1226571930765,3.769580789140152,2.3308477533380083,0.9844925644848822,41.49211240949214,693.4007559177252,0.0014454815164232832,0.0006410359675219635
471,2,1.1882847191148225,0.28,0.0,2.1,5.027757854673158,9.88355914925629,3.899093345759269,5123.735461241424,3.641952211525793,2.7221013963598164,0.9921279491381685,32.80315207161832,526.6018569454045,0.0007487769894180589,0.0004812745802963425
472,1,0.9555987440125916,0.28,0.0,2.1,2.9140388679730935,1.8028983839129802,8.624572596212923,5796.881216811032,4.483997821950869,0.9270081468089622,0.9581639173639563,148.25005354933995,3441.3127651432524,0.0001734488418175229,0.002790124145322509
473,2,0.8696867123182173,0.28,0.0,2.1,12.716782194388538,6.249944203580727,12.678265711502357,5640.034219294212,4.289108543604268,1.1064431800732648,0.8949659307627277,109.150530180772,2227.3640116391985,0.0004637597180147532,0.0029342039147938204
474,2,1.060422667166995,0.28,0.0,2.1,7.25719276543382,8.634408460168562,5.439559289473802,5733.484327306801,3.942448130126416,1.8191730880029209,0.9563001549326084,57.7784178158192,994.4028022234012,0.001434813434555073,0.0018667626228525691
